 Point_source              SWAT+ Jun 17 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null     water_temp
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                          degc
     1     1     1  2025       1       1  cha001               0.1336E-01     0.1244E+02     0.1569E+00     0.1336E+00     0.4358E+02     0.3674E-04     0.2721E-03     0.5172E-04     0.6084E-04     0.1875E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4900E-08     0.4900E-08     0.4900E-08     0.4900E-08     0.4900E-08     0.0000E+00     0.2375E+02     0.1336E+01     0.9733E-01     0.7209E+00     0.1370E+00     0.1611E+00     0.4966E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1298E-04     0.1298E-04     0.1298E-04     0.1298E-04     0.1298E-04     0.0000E+00     0.2375E+02     0.1336E+01     0.9115E-01     0.6978E+00     0.1326E+00     0.1543E+00     0.4753E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1298E-04     0.1298E-04     0.1298E-04     0.1298E-04     0.1298E-04     0.0000E+00     0.2375E+02     0.2375E+02
     1     1     1  2025       2       2  cha002               0.1974E-01     0.1838E+02     0.2319E+00     0.1974E+00     0.6490E+02     0.7792E-03     0.4488E-02     0.8569E-03     0.1019E-02     0.3066E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5553E-07     0.5553E-07     0.5553E-07     0.5553E-07     0.5553E-07     0.0000E+00     0.2375E+02     0.1461E+00     0.1515E+00     0.8727E+00     0.1666E+00     0.1980E+00     0.5962E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1080E-04     0.1080E-04     0.1080E-04     0.1080E-04     0.1080E-04     0.0000E+00     0.2375E+02     0.1461E+00     0.8646E-01     0.6831E+00     0.1304E+00     0.1159E+00     0.3490E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1080E-04     0.1080E-04     0.1080E-04     0.1080E-04     0.1080E-04     0.0000E+00     0.2375E+02     0.2375E+02
     1     1     1  2025       3       3  cha003               0.1229E-01     0.1144E+02     0.1444E+00     0.1229E+00     0.4182E+02     0.5332E-03     0.3224E-02     0.6359E-03     0.5643E-03     0.1730E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3875E-07     0.3875E-07     0.3875E-07     0.3875E-07     0.3875E-07     0.0000E+00     0.2375E+02     0.1092E+00     0.1203E+00     0.7271E+00     0.1434E+00     0.1273E+00     0.3902E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8738E-05     0.8738E-05     0.8738E-05     0.8738E-05     0.8738E-05     0.0000E+00     0.2375E+02     0.1092E+00     0.8237E-01     0.6122E+00     0.1208E+00     0.8764E-01     0.2687E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8738E-05     0.8738E-05     0.8738E-05     0.8738E-05     0.8738E-05     0.0000E+00     0.2375E+02     0.2375E+02
     1     1     1  2025       4       4  cha004               0.9272E-03     0.8631E+00     0.1089E-01     0.9272E-02     0.4196E+01     0.8895E-04     0.3571E-03     0.6863E-04     0.1055E-03     0.3260E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4923E-08     0.4923E-08     0.4923E-08     0.4923E-08     0.4923E-08     0.0000E+00     0.2375E+02     0.1240E-01     0.2271E-01     0.9117E-01     0.1752E-01     0.2693E-01     0.8324E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1257E-05     0.1257E-05     0.1257E-05     0.1257E-05     0.1257E-05     0.0000E+00     0.2375E+02     0.1240E-01     0.1865E-01     0.8289E-01     0.1593E-01     0.2291E-01     0.7081E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1257E-05     0.1257E-05     0.1257E-05     0.1257E-05     0.1257E-05     0.0000E+00     0.2375E+02     0.2375E+02
     1     1     1  2025       5       5  cha005               0.6998E-02     0.6514E+01     0.8219E-01     0.6998E-01     0.2537E+02     0.2300E-03     0.1452E-02     0.2557E-03     0.6236E-03     0.1866E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2172E-07     0.2172E-07     0.2172E-07     0.2172E-07     0.2172E-07     0.0000E+00     0.2375E+02     0.5506E-01     0.4314E-01     0.2722E+00     0.4794E-01     0.1169E+00     0.3500E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4073E-05     0.4073E-05     0.4073E-05     0.4073E-05     0.4073E-05     0.0000E+00     0.2375E+02     0.5506E-01     0.2904E-01     0.2274E+00     0.4004E-01     0.8019E-01     0.2400E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4073E-05     0.4073E-05     0.4073E-05     0.4073E-05     0.4073E-05     0.0000E+00     0.2375E+02     0.2375E+02
     1     1     1  2025       6       6  cha006               0.1693E-02     0.1576E+01     0.1989E-01     0.1693E-01     0.7259E+01     0.5309E-11     0.8242E-11     0.2473E-10     0.1720E-03     0.4751E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5309E-08     0.5309E-08     0.5309E-08     0.5309E-08     0.5309E-08     0.0000E+00     0.2375E+02     0.1776E-01     0.1122E-08     0.1743E-08     0.5228E-08     0.3637E-01     0.1004E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1122E-05     0.1122E-05     0.1122E-05     0.1122E-05     0.1122E-05     0.0000E+00     0.2375E+02     0.1776E-01     0.9205E-09     0.1585E-08     0.4755E-08     0.3021E-01     0.8342E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1122E-05     0.1122E-05     0.1122E-05     0.1122E-05     0.1122E-05     0.0000E+00     0.2375E+02     0.2375E+02
     1     1     1  2025       7       7  cha007               0.3857E-02     0.3590E+01     0.4530E-01     0.3857E-01     0.1595E+02     0.3878E-03     0.2024E-02     0.3565E-03     0.4837E-03     0.1531E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1062E-07     0.1062E-07     0.1062E-07     0.1062E-07     0.1062E-07     0.0000E+00     0.2375E+02     0.2108E-01     0.4427E-01     0.2311E+00     0.4070E-01     0.5522E-01     0.1748E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1212E-05     0.1212E-05     0.1212E-05     0.1212E-05     0.1212E-05     0.0000E+00     0.2375E+02     0.2108E-01     0.2745E-01     0.1860E+00     0.3276E-01     0.3639E-01     0.1152E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1212E-05     0.1212E-05     0.1212E-05     0.1212E-05     0.1212E-05     0.0000E+00     0.2375E+02     0.2375E+02
     1     1     1  2025       8       8  cha008               0.2901E-02     0.2701E+01     0.3408E-01     0.2901E-01     0.1080E+02     0.8785E-04     0.5132E-03     0.8714E-04     0.1966E-03     0.5898E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8907E-08     0.8907E-08     0.8907E-08     0.8907E-08     0.8907E-08     0.0000E+00     0.2375E+02     0.4403E-01     0.3094E-01     0.1808E+00     0.3069E-01     0.6924E-01     0.2078E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3137E-05     0.3137E-05     0.3137E-05     0.3137E-05     0.3137E-05     0.0000E+00     0.2375E+02     0.4403E-01     0.2508E-01     0.1635E+00     0.2777E-01     0.5684E-01     0.1705E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3137E-05     0.3137E-05     0.3137E-05     0.3137E-05     0.3137E-05     0.0000E+00     0.2375E+02     0.2375E+02
     1     1     1  2025       9       9  cha009               0.1601E-02     0.1490E+01     0.1880E-01     0.1601E-01     0.4633E+01     0.1289E-03     0.2746E-10     0.8238E-10     0.3097E-03     0.7880E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2634E-07     0.2634E-07     0.2634E-07     0.2634E-07     0.2634E-07     0.0000E+00     0.2375E+02     0.6435E-02     0.1547E-01     0.3295E-08     0.9886E-08     0.3717E-01     0.9456E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3161E-05     0.3161E-05     0.3161E-05     0.3161E-05     0.3161E-05     0.0000E+00     0.2375E+02     0.6435E-02     0.1940E-01     0.3294E-08     0.9882E-08     0.3717E-01     0.9456E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3161E-05     0.3161E-05     0.3161E-05     0.3161E-05     0.3161E-05     0.0000E+00     0.2375E+02     0.2375E+02
     1     1     1  2025      10      10  cha010               0.3654E-03     0.3401E+00     0.4292E-02     0.3654E-02     0.1098E+01     0.8088E-04     0.4222E-03     0.6705E-04     0.4007E-04     0.1136E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E-08     0.1936E-08     0.1936E-08     0.1936E-08     0.1936E-08     0.0000E+00     0.2375E+02     0.7559E-02     0.4809E-01     0.2511E+00     0.3987E-01     0.2383E-01     0.6757E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1151E-05     0.1151E-05     0.1151E-05     0.1151E-05     0.1151E-05     0.0000E+00     0.2375E+02     0.7559E-02     0.4432E-01     0.2412E+00     0.3829E-01     0.2219E-01     0.6292E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1151E-05     0.1151E-05     0.1151E-05     0.1151E-05     0.1151E-05     0.0000E+00     0.2375E+02     0.2375E+02
     1     1     1  2025      11      11  cha011               0.2526E-04     0.2352E-01     0.2967E-03     0.2526E-03     0.2926E-01     0.1379E-12     0.1342E-12     0.4026E-12     0.1999E-05     0.5049E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1379E-09     0.1379E-09     0.1379E-09     0.1379E-09     0.1379E-09     0.0000E+00     0.2375E+02     0.2626E-02     0.1069E-08     0.1040E-08     0.3121E-08     0.1550E-01     0.3914E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1069E-05     0.1069E-05     0.1069E-05     0.1069E-05     0.1069E-05     0.0000E+00     0.2375E+02     0.2626E-02     0.1172E-03     0.1040E-08     0.3121E-08     0.1550E-01     0.3914E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1069E-05     0.1069E-05     0.1069E-05     0.1069E-05     0.1069E-05     0.0000E+00     0.2375E+02     0.2375E+02
     1     1     1  2025      12      12  cha012               0.3334E-02     0.3104E+01     0.3916E-01     0.3334E-01     0.1386E+02     0.9808E-04     0.5120E-03     0.9017E-04     0.3166E-03     0.9253E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8488E-08     0.8488E-08     0.8488E-08     0.8488E-08     0.8488E-08     0.0000E+00     0.2375E+02     0.2118E-01     0.1295E-01     0.6758E-01     0.1190E-01     0.4179E-01     0.1221E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1120E-05     0.1120E-05     0.1120E-05     0.1120E-05     0.1120E-05     0.0000E+00     0.2375E+02     0.2118E-01     0.9142E-02     0.5752E-01     0.1013E-01     0.3041E-01     0.8887E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1120E-05     0.1120E-05     0.1120E-05     0.1120E-05     0.1120E-05     0.0000E+00     0.2375E+02     0.2375E+02
     1     1     1  2025      13      13  cha013               0.1135E-01     0.1057E+02     0.1333E+00     0.1135E+00     0.1707E+01     0.3676E-10     0.1540E-09     0.4620E-09     0.2359E-03     0.4400E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3676E-07     0.3676E-07     0.3676E-07     0.3676E-07     0.3676E-07     0.0000E+00     0.2375E+02     0.6947E-03     0.1293E-08     0.5416E-08     0.1625E-07     0.8297E-02     0.1547E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1293E-05     0.1293E-05     0.1293E-05     0.1293E-05     0.1293E-05     0.0000E+00     0.2375E+02     0.6931E-03     0.1285E-08     0.5400E-08     0.1620E-07     0.8297E-02     0.1547E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1293E-05     0.1293E-05     0.1293E-05     0.1293E-05     0.1293E-05     0.0000E+00     0.2375E+02     0.2375E+02
     1     1     1  2025      14      14  cha014               0.1033E-03     0.9614E-01     0.2838E-03     0.1033E-02     0.1305E-06     0.5355E-12     0.4302E-12     0.1290E-11     0.2299E-08     0.4302E-12     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5355E-09     0.5355E-09     0.5355E-09     0.5355E-09     0.5355E-09     0.0000E+00     0.2375E+02     0.3285E-08     0.1165E-08     0.9358E-09     0.2807E-08     0.5001E-05     0.9358E-09     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1165E-05     0.1165E-05     0.1165E-05     0.1165E-05     0.1165E-05     0.0000E+00     0.2375E+02     0.0000E+00     0.1561E-03     0.9357E-09     0.2807E-08     0.5001E-05     0.9358E-09     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1165E-05     0.1165E-05     0.1165E-05     0.1165E-05     0.1165E-05     0.0000E+00     0.2375E+02     0.2375E+02
     1     1     1  2025      15      15  cha015               0.1809E-02     0.1684E+01     0.2125E-01     0.1809E-01     0.7806E+01     0.3519E-04     0.1837E-03     0.3235E-04     0.2409E-03     0.6900E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7575E-08     0.7575E-08     0.7575E-08     0.7575E-08     0.7575E-08     0.0000E+00     0.2375E+02     0.1674E-01     0.6521E-02     0.3404E-01     0.5995E-02     0.4464E-01     0.1279E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1404E-05     0.1404E-05     0.1404E-05     0.1404E-05     0.1404E-05     0.0000E+00     0.2375E+02     0.1674E-01     0.4846E-02     0.2958E-01     0.5209E-02     0.3481E-01     0.9971E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1404E-05     0.1404E-05     0.1404E-05     0.1404E-05     0.1404E-05     0.0000E+00     0.2375E+02     0.2375E+02
