 Point_source              SWAT+ Jun 17 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor      n_tot          p_tot         dep_bf        velav_bf        
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons       kg_N           kg_P            m/s             m/s        
     1     1     1  2025       1       1  cha001               0.1336E+01     0.0000E+00     0.1336E+01     0.6417E+01     0.9733E-01     0.9115E-01     0.9115E-01     0.2011E-02     0.4162E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.6311E+00     0.8071E-01     0.4070E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.3800E+03     0.0000E+00     0.3800E+03     0.3674E-04     0.8521E+00     0.1802E+00     0.8071E-01     0.0000E+00
     1     1     1  2025       2       2  cha002               0.1461E+00     0.0000E+00     0.1461E+00     0.7208E+00     0.1515E+00     0.8646E-01     0.8646E-01     0.2225E-02     0.6283E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.5896E+00     0.7713E-01     0.7730E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.4654E+02     0.0000E+00     0.4654E+02     0.7792E-03     0.7990E+00     0.1653E+00     0.7713E-01     0.0000E+00
     1     1     1  2025       3       3  cha003               0.1092E+00     0.0000E+00     0.1092E+00     0.5951E+00     0.1203E+00     0.8237E-01     0.8237E-01     0.4507E-03     0.3745E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.4608E+00     0.6544E-01     0.3974E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.5246E+02     0.0000E+00     0.5246E+02     0.5332E-03     0.6999E+00     0.1476E+00     0.6544E-01     0.0000E+00
     1     1     1  2025       4       4  cha004               0.1240E-01     0.0000E+00     0.1240E-01     0.1153E+00     0.2271E-01     0.1865E-01     0.1865E-01     0.6725E-03     0.3393E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1326E+00     0.2853E-01     0.6210E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.4748E+02     0.0000E+00     0.4748E+02     0.8895E-04     0.1058E+00     0.2301E-01     0.2853E-01     0.0000E+00
     1     1     1  2025       5       5  cha005               0.5506E-01     0.0000E+00     0.5506E-01     0.3465E+00     0.4314E-01     0.2904E-01     0.2904E-01     0.5411E-03     0.1355E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.3258E+00     0.5194E-01     0.1700E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.4715E+02     0.0000E+00     0.4715E+02     0.2300E-03     0.3075E+00     0.6404E-01     0.5194E-01     0.0000E+00
     1     1     1  2025       6       6  cha006               0.1776E-01     0.0000E+00     0.1776E-01     0.1511E+00     0.1122E-08     0.9205E-09     0.9205E-09     0.1164E-10     0.1902E-09     0.0000E+00     0.0000E+00     0.0000E+00     0.1619E+00     0.3259E-01     0.3391E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.4879E+02     0.0000E+00     0.4878E+02     0.5309E-11     0.3021E-01     0.8342E-02     0.3259E-01     0.0000E+00
     1     1     1  2025       7       7  cha007               0.2108E-01     0.0000E+00     0.2108E-01     0.1690E+00     0.4427E-01     0.2745E-01     0.2745E-01     0.1723E-02     0.1510E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.1853E+00     0.3566E-01     0.9260E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.4621E+02     0.0000E+00     0.4621E+02     0.3878E-03     0.2224E+00     0.4428E-01     0.3566E-01     0.0000E+00
     1     1     1  2025       8       8  cha008               0.4403E-01     0.0000E+00     0.4403E-01     0.2921E+00     0.3094E-01     0.2508E-01     0.2508E-01     0.3200E-03     0.5545E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.2876E+00     0.4779E-01     0.1459E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.4642E+02     0.0000E+00     0.4642E+02     0.8785E-04     0.2204E+00     0.4482E-01     0.4779E-01     0.0000E+00
     1     1     1  2025       9       9  cha009               0.6435E-02     0.0000E+00     0.6435E-02     0.4515E-01     0.1547E-01     0.1940E-01     0.1940E-01     0.1228E-04     0.0000E+00     0.0000E+00     0.3935E-02     0.0000E+00     0.2521E+00     0.4378E-01     0.4980E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.8447E+01     0.0000E+00     0.8446E+01     0.1289E-03     0.3717E-01     0.9457E-02     0.4378E-01     0.0000E+00
