 Point_source             
  SWAT+ Jun 17 2024        MODULAR Rev 2024.61.0                                
  
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
     1     1     1  2025       9    frsd                        0.000       0.000       0.000       0.000
     1     1     1  2025      10    frsd                        0.000       0.000       0.000       0.000
     1     1     1  2025      20    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025      24    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025      31    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025      32    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025      33    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025      34    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025      35    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025      36    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025      43    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025      44    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025      53    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025      63    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025      64    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025      65    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025      67    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025      69    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025      70    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025      71    frst                        0.000       0.000       0.000       0.000
     1     1     1  2025      73    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025      74    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025      78    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025      79    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025      80    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025      81    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025      82    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025      83    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025      91    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025      98    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     102    hay                         0.000       0.000       0.000       0.000
