 Point_source              SWAT+ Jun 17 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                    in_sed         out_sed        fp_dep         ch_dep        bank_ero        bed_ero         in_no3        in_orgn        out_no3       out_orgn         fp_no3        bank_no3       bed_no3        fp_orgn        ch_orgn        bank_orgn      bed_orgn       in_solp        in_orgp        out_solp       out_orgp       fp_solp        bank_solp      bed_solp       fp_orgp        ch_orgp        bank_orgp      bed_orgp       no3_orgn       solp_orgp      
                                                                    tons            tons          tons           tons            tons           tons           tons           tons           tons          tons           tons           tons           tons           tons            tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons         
     1     1     1  2025       1       1  cha001               0.9733E-01     0.9115E-01     0.4162E-02     0.2011E-02     0.0000E+00     0.0000E+00     0.1611E+00     0.7209E+00     0.1543E+00     0.6978E+00     0.6892E-02     0.0000E+00     0.0000E+00     0.1541E-01     0.7613E-02     0.0000E+00     0.0000E+00     0.4966E-01     0.1370E+00     0.4753E-01     0.1326E+00     0.2124E-02     0.0000E+00     0.0000E+00     0.2930E-02     0.1447E-02     0.0000E+00     0.0000E+00     0.3235E-02     0.9968E-03
     1     1     1  2025       2       2  cha002               0.1515E+00     0.8646E-01     0.6283E-01     0.2225E-02     0.0000E+00     0.0000E+00     0.1980E+00     0.8727E+00     0.1159E+00     0.6831E+00     0.8213E-01     0.0000E+00     0.0000E+00     0.1809E+00     0.8676E-02     0.0000E+00     0.0000E+00     0.5962E-01     0.1666E+00     0.3490E-01     0.1304E+00     0.2472E-01     0.0000E+00     0.0000E+00     0.3455E-01     0.1656E-02     0.0000E+00     0.0000E+00     0.2697E-02     0.8118E-03
     1     1     1  2025       3       3  cha003               0.1203E+00     0.8237E-01     0.3745E-01     0.4507E-03     0.0000E+00     0.0000E+00     0.1273E+00     0.7271E+00     0.8764E-01     0.6122E+00     0.3963E-01     0.0000E+00     0.0000E+00     0.1132E+00     0.1670E-02     0.0000E+00     0.0000E+00     0.3902E-01     0.1434E+00     0.2687E-01     0.1208E+00     0.1215E-01     0.0000E+00     0.0000E+00     0.2233E-01     0.3295E-03     0.0000E+00     0.0000E+00     0.3789E-03     0.1162E-03
     1     1     1  2025       4       4  cha004               0.2271E-01     0.1865E-01     0.3393E-02     0.6725E-03     0.0000E+00     0.0000E+00     0.2693E-01     0.9117E-01     0.2291E-01     0.8289E-01     0.4023E-02     0.0000E+00     0.0000E+00     0.6810E-02     0.1468E-02     0.0000E+00     0.0000E+00     0.8324E-02     0.1752E-01     0.7081E-02     0.1593E-01     0.1243E-02     0.0000E+00     0.0000E+00     0.1309E-02     0.2822E-03     0.0000E+00     0.0000E+00     0.2751E-03     0.8503E-04
     1     1     1  2025       5       5  cha005               0.4314E-01     0.2904E-01     0.1355E-01     0.5411E-03     0.0000E+00     0.0000E+00     0.1169E+00     0.2722E+00     0.8019E-01     0.2274E+00     0.3674E-01     0.0000E+00     0.0000E+00     0.4276E-01     0.2099E-02     0.0000E+00     0.0000E+00     0.3500E-01     0.4794E-01     0.2400E-01     0.4004E-01     0.1099E-01     0.0000E+00     0.0000E+00     0.7531E-02     0.3696E-03     0.0000E+00     0.0000E+00     0.9215E-03     0.2758E-03
     1     1     1  2025       6       6  cha006               0.1122E-08     0.9205E-09     0.1902E-09     0.1164E-10     0.0000E+00     0.0000E+00     0.3637E-01     0.1743E-08     0.3021E-01     0.1585E-08     0.6165E-02     0.0000E+00     0.0000E+00     0.1477E-09     0.9954E-11     0.0000E+00     0.0000E+00     0.1004E-01     0.5228E-08     0.8342E-02     0.4755E-08     0.1703E-02     0.0000E+00     0.0000E+00     0.4430E-09     0.2986E-10     0.0000E+00     0.0000E+00     0.1491E-03     0.4118E-04
     1     1     1  2025       7       7  cha007               0.4427E-01     0.2745E-01     0.1510E-01     0.1723E-02     0.0000E+00     0.0000E+00     0.5522E-01     0.2311E+00     0.3639E-01     0.1860E+00     0.1883E-01     0.0000E+00     0.0000E+00     0.3941E-01     0.5660E-02     0.0000E+00     0.0000E+00     0.1748E-01     0.4070E-01     0.1152E-01     0.3276E-01     0.5960E-02     0.0000E+00     0.0000E+00     0.6940E-02     0.9967E-03     0.0000E+00     0.0000E+00     0.9203E-03     0.2912E-03
     1     1     1  2025       8       8  cha008               0.3094E-01     0.2508E-01     0.5545E-02     0.3200E-03     0.0000E+00     0.0000E+00     0.6924E-01     0.1808E+00     0.5684E-01     0.1635E+00     0.1241E-01     0.0000E+00     0.0000E+00     0.1620E-01     0.1037E-02     0.0000E+00     0.0000E+00     0.2078E-01     0.3069E-01     0.1705E-01     0.2777E-01     0.3723E-02     0.0000E+00     0.0000E+00     0.2750E-02     0.1760E-03     0.0000E+00     0.0000E+00     0.4148E-03     0.1245E-03
     1     1     1  2025       9       9  cha009               0.1547E-01     0.1940E-01     0.0000E+00     0.1228E-04     0.3935E-02     0.0000E+00     0.3717E-01     0.3295E-08     0.3717E-01     0.3294E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1308E-11     0.0000E+00     0.0000E+00     0.9456E-02     0.9886E-08     0.9456E-02     0.9882E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3923E-11     0.0000E+00     0.0000E+00     0.1571E-04     0.3997E-05
     1     1     1  2025      10      10  cha010               0.4809E-01     0.4432E-01     0.3310E-02     0.4644E-03     0.0000E+00     0.0000E+00     0.2383E-01     0.2511E+00     0.2219E-01     0.2412E+00     0.1640E-02     0.0000E+00     0.0000E+00     0.8641E-02     0.1257E-02     0.0000E+00     0.0000E+00     0.6757E-02     0.3987E-01     0.6292E-02     0.3829E-01     0.4651E-03     0.0000E+00     0.0000E+00     0.1372E-02     0.1996E-03     0.0000E+00     0.0000E+00     0.7012E-04     0.1989E-04
     1     1     1  2025      11      11  cha011               0.1069E-08     0.1172E-03     0.0000E+00     0.3670E-13     0.1172E-03     0.0000E+00     0.1550E-01     0.1040E-08     0.1550E-01     0.1040E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1786E-13     0.0000E+00     0.0000E+00     0.3914E-02     0.3121E-08     0.3914E-02     0.3121E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5358E-13     0.0000E+00     0.0000E+00     0.1792E-06     0.4526E-07
     1     1     1  2025      12      12  cha012               0.1295E-01     0.9142E-02     0.3526E-02     0.2774E-03     0.0000E+00     0.0000E+00     0.4179E-01     0.6758E-01     0.3041E-01     0.5752E-01     0.1138E-01     0.0000E+00     0.0000E+00     0.9204E-02     0.8596E-03     0.0000E+00     0.0000E+00     0.1221E-01     0.1190E-01     0.8887E-02     0.1013E-01     0.3327E-02     0.0000E+00     0.0000E+00     0.1621E-02     0.1514E-03     0.0000E+00     0.0000E+00     0.3808E-03     0.1113E-03
     1     1     1  2025      13      13  cha013               0.1293E-08     0.1285E-08     0.0000E+00     0.7536E-11     0.0000E+00     0.0000E+00     0.8297E-02     0.5416E-08     0.8297E-02     0.5400E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1579E-10     0.0000E+00     0.0000E+00     0.1547E-02     0.1625E-07     0.1547E-02     0.1620E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4736E-10     0.0000E+00     0.0000E+00     0.2885E-04     0.5381E-05
     1     1     1  2025      14      14  cha014               0.1165E-08     0.1561E-03     0.0000E+00     0.2145E-12     0.1561E-03     0.0000E+00     0.5001E-05     0.9358E-09     0.5001E-05     0.9357E-09     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8615E-13     0.0000E+00     0.0000E+00     0.9358E-09     0.2807E-08     0.9358E-09     0.2807E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2584E-12     0.0000E+00     0.0000E+00     0.2760E-09     0.5165E-13
     1     1     1  2025      15      15  cha015               0.6521E-02     0.4846E-02     0.1436E-02     0.2397E-03     0.0000E+00     0.0000E+00     0.4464E-01     0.3404E-01     0.3481E-01     0.2958E-01     0.9828E-02     0.0000E+00     0.0000E+00     0.3747E-02     0.7140E-03     0.0000E+00     0.0000E+00     0.1279E-01     0.5995E-02     0.9971E-02     0.5209E-02     0.2815E-02     0.0000E+00     0.0000E+00     0.6600E-03     0.1257E-03     0.0000E+00     0.0000E+00     0.6337E-03     0.1815E-03
     1     1     1  2025      16      16  cha016               0.1000E-08     0.1927E-01     0.0000E+00     0.9221E-12     0.1927E-01     0.0000E+00     0.4941E-01     0.2002E-08     0.4941E-01     0.2001E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9226E-12     0.0000E+00     0.0000E+00     0.1364E-01     0.6005E-08     0.1364E-01     0.6002E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2768E-11     0.0000E+00     0.0000E+00     0.1947E-04     0.5376E-05
     1     1     1  2025      17      17  cha017               0.1161E-08     0.1536E-01     0.0000E+00     0.3244E-11     0.1536E-01     0.0000E+00     0.1984E-01     0.1060E-08     0.1984E-01     0.1059E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1480E-11     0.0000E+00     0.0000E+00     0.5236E-02     0.3180E-08     0.5236E-02     0.3176E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4441E-11     0.0000E+00     0.0000E+00     0.1811E-04     0.4778E-05
     1     1     1  2025      18      18  cha018               0.1397E-01     0.1031E-01     0.3408E-02     0.2473E-03     0.0000E+00     0.0000E+00     0.3456E-01     0.7291E-01     0.2613E-01     0.6327E-01     0.8434E-02     0.0000E+00     0.0000E+00     0.8897E-02     0.7497E-03     0.0000E+00     0.0000E+00     0.1024E-01     0.1284E-01     0.7744E-02     0.1114E-01     0.2500E-02     0.0000E+00     0.0000E+00     0.1567E-02     0.1320E-03     0.0000E+00     0.0000E+00     0.2444E-03     0.7246E-04
     1     1     1  2025      19      19  cha019               0.7723E-01     0.6314E-01     0.1347E-01     0.6247E-03     0.0000E+00     0.0000E+00     0.4317E-01     0.2688E+00     0.3565E-01     0.2441E+00     0.7527E-02     0.0000E+00     0.0000E+00     0.2343E-01     0.1202E-02     0.0000E+00     0.0000E+00     0.1124E-01     0.4687E-01     0.9276E-02     0.4257E-01     0.1959E-02     0.0000E+00     0.0000E+00     0.4086E-02     0.2096E-03     0.0000E+00     0.0000E+00     0.1365E-03     0.3551E-04
     1     1     1  2025      20      20  cha020               0.1141E-08     0.7877E-09     0.1736E-11     0.3518E-09     0.0000E+00     0.0000E+00     0.2348E-01     0.1032E-08     0.2344E-01     0.8718E-09     0.3571E-04     0.0000E+00     0.0000E+00     0.7846E-12     0.1591E-09     0.0000E+00     0.0000E+00     0.7685E-02     0.3095E-08     0.7673E-02     0.2615E-08     0.1169E-04     0.0000E+00     0.0000E+00     0.2354E-11     0.4774E-09     0.0000E+00     0.0000E+00     0.2285E-02     0.7480E-03
     1     1     1  2025      21      21  cha021               0.2837E+00     0.2688E+00     0.1237E-01     0.2455E-02     0.0000E+00     0.0000E+00     0.4056E+00     0.1757E+01     0.3879E+00     0.1711E+01     0.1770E-01     0.0000E+00     0.0000E+00     0.3833E-01     0.7776E-02     0.0000E+00     0.0000E+00     0.1169E+00     0.3417E+00     0.1118E+00     0.3327E+00     0.5100E-02     0.0000E+00     0.0000E+00     0.7453E-02     0.1512E-02     0.0000E+00     0.0000E+00     0.4753E-02     0.1370E-02
     1     1     1  2025      22      22  cha022               0.2732E+00     0.2516E+00     0.1574E-01     0.5908E-02     0.0000E+00     0.0000E+00     0.3541E+00     0.1737E+01     0.3337E+00     0.1668E+01     0.2041E-01     0.0000E+00     0.0000E+00     0.5005E-01     0.1935E-01     0.0000E+00     0.0000E+00     0.1040E+00     0.3397E+00     0.9797E-01     0.3261E+00     0.5990E-02     0.0000E+00     0.0000E+00     0.9786E-02     0.3784E-02     0.0000E+00     0.0000E+00     0.9535E-02     0.2799E-02
     1     1     1  2025      23      23  cha023               0.1106E+00     0.1058E+00     0.3922E-02     0.8777E-03     0.0000E+00     0.0000E+00     0.1952E+00     0.6978E+00     0.1883E+00     0.6826E+00     0.6924E-02     0.0000E+00     0.0000E+00     0.1238E-01     0.2821E-02     0.0000E+00     0.0000E+00     0.5762E-01     0.1326E+00     0.5557E-01     0.1297E+00     0.2044E-02     0.0000E+00     0.0000E+00     0.2352E-02     0.5362E-03     0.0000E+00     0.0000E+00     0.1695E-02     0.5003E-03
     1     1     1  2025      24      24  cha024               0.5089E-01     0.3957E-01     0.1080E-01     0.5167E-03     0.0000E+00     0.0000E+00     0.1063E+00     0.3270E+00     0.8377E-01     0.2904E+00     0.2258E-01     0.0000E+00     0.0000E+00     0.3470E-01     0.1884E-02     0.0000E+00     0.0000E+00     0.3217E-01     0.6026E-01     0.2534E-01     0.5352E-01     0.6828E-02     0.0000E+00     0.0000E+00     0.6396E-02     0.3472E-03     0.0000E+00     0.0000E+00     0.7475E-03     0.2261E-03
     1     1     1  2025      25      25  cha025               0.2508E-01     0.1456E-01     0.9911E-02     0.6059E-03     0.0000E+00     0.0000E+00     0.8733E-01     0.1635E+00     0.5282E-01     0.1286E+00     0.3451E-01     0.0000E+00     0.0000E+00     0.3231E-01     0.2621E-02     0.0000E+00     0.0000E+00     0.2540E-01     0.2777E-01     0.1536E-01     0.2184E-01     0.1004E-01     0.0000E+00     0.0000E+00     0.5487E-02     0.4451E-03     0.0000E+00     0.0000E+00     0.1505E-02     0.4378E-03
     1     1     1  2025      26      26  cha026               0.1487E+00     0.1102E+00     0.3664E-01     0.1887E-02     0.0000E+00     0.0000E+00     0.8394E-01     0.9836E+00     0.6326E-01     0.8552E+00     0.2067E-01     0.0000E+00     0.0000E+00     0.1211E+00     0.7260E-02     0.0000E+00     0.0000E+00     0.2427E-01     0.2015E+00     0.1829E-01     0.1752E+00     0.5978E-02     0.0000E+00     0.0000E+00     0.2481E-01     0.1487E-02     0.0000E+00     0.0000E+00     0.7057E-03     0.2040E-03
     1     1     1  2025      27      27  cha027               0.2790E-01     0.2456E-01     0.2961E-02     0.3779E-03     0.0000E+00     0.0000E+00     0.1586E-01     0.1457E+00     0.1418E-01     0.1369E+00     0.1683E-02     0.0000E+00     0.0000E+00     0.7728E-02     0.1045E-02     0.0000E+00     0.0000E+00     0.4689E-02     0.3737E-01     0.4191E-02     0.3512E-01     0.4975E-03     0.0000E+00     0.0000E+00     0.1982E-02     0.2680E-03     0.0000E+00     0.0000E+00     0.7057E-04     0.2087E-04
     1     1     1  2025      28      28  cha028               0.2259E+00     0.1791E+00     0.4648E-01     0.3680E-03     0.0000E+00     0.0000E+00     0.1557E+00     0.1369E+01     0.1237E+00     0.1227E+01     0.3204E-01     0.0000E+00     0.0000E+00     0.1408E+00     0.1259E-02     0.0000E+00     0.0000E+00     0.4452E-01     0.2408E+00     0.3536E-01     0.2158E+00     0.9159E-02     0.0000E+00     0.0000E+00     0.2477E-01     0.2215E-03     0.0000E+00     0.0000E+00     0.2558E-03     0.7313E-04
     1     1     1  2025      29      29  cha029               0.1281E+00     0.7766E-01     0.5021E-01     0.2247E-03     0.0000E+00     0.0000E+00     0.9480E-01     0.4862E+00     0.5764E-01     0.3903E+00     0.3716E-01     0.0000E+00     0.0000E+00     0.9529E-01     0.5639E-03     0.0000E+00     0.0000E+00     0.1798E-01     0.1092E+00     0.1093E-01     0.8764E-01     0.7047E-02     0.0000E+00     0.0000E+00     0.2139E-01     0.1266E-03     0.0000E+00     0.0000E+00     0.1553E-03     0.2945E-04
     1     1     1  2025      30      30  cha030               0.2792E+00     0.2217E+00     0.5723E-01     0.2799E-03     0.0000E+00     0.0000E+00     0.1805E+00     0.1517E+01     0.1435E+00     0.1361E+01     0.3700E-01     0.0000E+00     0.0000E+00     0.1555E+00     0.8585E-03     0.0000E+00     0.0000E+00     0.5186E-01     0.2671E+00     0.4123E-01     0.2396E+00     0.1063E-01     0.0000E+00     0.0000E+00     0.2738E-01     0.1511E-03     0.0000E+00     0.0000E+00     0.1743E-03     0.5007E-04
     1     1     1  2025      31      31  cha031               0.8643E-01     0.8714E-01     0.0000E+00     0.4611E-05     0.7112E-03     0.0000E+00     0.3777E-01     0.2511E+00     0.3777E-01     0.2511E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6698E-05     0.0000E+00     0.0000E+00     0.9657E-02     0.4368E-01     0.9657E-02     0.4368E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1165E-05     0.0000E+00     0.0000E+00     0.1364E-05     0.3488E-06
     1     1     1  2025      32      32  cha032               0.1931E+00     0.1835E+00     0.9527E-02     0.5904E-04     0.0000E+00     0.0000E+00     0.1237E+00     0.1048E+01     0.1176E+00     0.1022E+01     0.6104E-02     0.0000E+00     0.0000E+00     0.2585E-01     0.1644E-03     0.0000E+00     0.0000E+00     0.3568E-01     0.1790E+00     0.3392E-01     0.1745E+00     0.1761E-02     0.0000E+00     0.0000E+00     0.4415E-02     0.2807E-04     0.0000E+00     0.0000E+00     0.3194E-04     0.9213E-05
     1     1     1  2025      33      33  cha033               0.1400E-01     0.2033E-01     0.0000E+00     0.3188E-04     0.6364E-02     0.0000E+00     0.2131E-01     0.4873E-01     0.2131E-01     0.4867E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5548E-04     0.0000E+00     0.0000E+00     0.5558E-02     0.8497E-02     0.5558E-02     0.8487E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9675E-05     0.0000E+00     0.0000E+00     0.2869E-04     0.7480E-05
     1     1     1  2025      34      34  cha034               0.5149E-01     0.4096E-01     0.1044E-01     0.8606E-04     0.0000E+00     0.0000E+00     0.4485E-01     0.2619E+00     0.3575E-01     0.2351E+00     0.9096E-02     0.0000E+00     0.0000E+00     0.2656E-01     0.2467E-03     0.0000E+00     0.0000E+00     0.1030E-01     0.7295E-01     0.8208E-02     0.6548E-01     0.2088E-02     0.0000E+00     0.0000E+00     0.7397E-02     0.6873E-04     0.0000E+00     0.0000E+00     0.4833E-04     0.1110E-04
     1     1     1  2025      35      35  cha035               0.2973E-01     0.2674E-01     0.2849E-02     0.1375E-03     0.0000E+00     0.0000E+00     0.2116E-01     0.1851E+00     0.1913E-01     0.1758E+00     0.2028E-02     0.0000E+00     0.0000E+00     0.8869E-02     0.4506E-03     0.0000E+00     0.0000E+00     0.4623E-02     0.4748E-01     0.4180E-02     0.4509E-01     0.4430E-03     0.0000E+00     0.0000E+00     0.2275E-02     0.1156E-03     0.0000E+00     0.0000E+00     0.4944E-04     0.1080E-04
     1     1     1  2025      36      36  cha036               0.1098E+00     0.8727E-01     0.2180E-01     0.7601E-03     0.0000E+00     0.0000E+00     0.6764E-01     0.5197E+00     0.5421E-01     0.4661E+00     0.1343E-01     0.0000E+00     0.0000E+00     0.5158E-01     0.2021E-02     0.0000E+00     0.0000E+00     0.2017E-01     0.9756E-01     0.1617E-01     0.8750E-01     0.4004E-02     0.0000E+00     0.0000E+00     0.9683E-02     0.3794E-03     0.0000E+00     0.0000E+00     0.2641E-03     0.7878E-04
     1     1     1  2025      37      37  cha037               0.2771E+00     0.1754E+00     0.1004E+00     0.1328E-02     0.0000E+00     0.0000E+00     0.1342E+00     0.1540E+01     0.8558E-01     0.1256E+01     0.4860E-01     0.0000E+00     0.0000E+00     0.2789E+00     0.4738E-02     0.0000E+00     0.0000E+00     0.4235E-01     0.2419E+00     0.2701E-01     0.1973E+00     0.1534E-01     0.0000E+00     0.0000E+00     0.4380E-01     0.7442E-03     0.0000E+00     0.0000E+00     0.4154E-03     0.1311E-03
